"PLU";"Name";"VAT";"Stock group";"PriceType";"Price";"Single Sale";"Turnover";"Sold Qty";"Stock Qty";"Barcode1";"Barcode2";"Barcode3";"Barcode4";
"1";"NERO RED";"Ђ";"1";"1";"340.00";"0";"0";"0";"0";"0";"0";"0";"0";
"2";"FAST 100 S";"Ђ";"1";"1";"350.00";"0";"0";"0";"0";"0";"0";"0";"0";
"3";"JADE LA ROSE SLIM";"Ђ";"1";"1";"370.00";"0";"0";"0";"0";"0";"0";"0";"0";
"4";"KAMEL KOCMPAKT";"Ђ";"1";"1";"370.00";"0";"0";"0";"0";"0";"0";"0";"0";
"5";"PAL MAL LONG RED";"Ђ";"1";"1";"370.00";"0";"0";"0";"0";"0";"0";"0";"0";
"6";"L&M LOFT BLUE";"Ђ";"1";"1";"370.00";"0";"0";"0";"0";"0";"0";"0";"0";
"7";"PAL MAL POKET";"Ђ";"1";"1";"380.00";"0";"0";"0";"0";"0";"0";"0";"0";
"8";"PAL MAL RED";"Ђ";"1";"1";"390.00";"0";"0";"0";"0";"0";"0";"0";"0";
"9";"KAMEL LEGEND";"Ђ";"1";"1";"390.00";"0";"0";"0";"0";"0";"0";"0";"0";
"10";"KAMEL LEGEND 100S";"Ђ";"1";"1";"390.00";"0";"0";"0";"0";"0";"0";"0";"0";
"11";"LD RED";"Ђ";"1";"1";"370.00";"0";"0";"0";"0";"0";"0";"0";"0";
"12";"LD PINK SUPER SLIM";"Ђ";"1";"1";"390.00";"0";"0";"0";"0";"0";"0";"0";"0";
"13";"WINSTON XSTIL";"Ђ";"1";"1";"400.00";"0";"0";"0";"0";"0";"0";"0";"0";
"14";"WINSTON X STIL LONG";"Ђ";"1";"1";"410.00";"0";"0";"0";"0";"0";"0";"0";"0";
"15";"LUCKY RED ORIGINAL";"Ђ";"1";"1";"420.00";"0";"0";"0";"0";"0";"0";"0";"0";
"16";"WINSTON GOLD RED 100S";"Ђ";"1";"1";"420.00";"0";"0";"0";"0";"0";"0";"0";"0";
"17";"LM RED 100S";"Ђ";"1";"1";"370.00";"0";"0";"0";"0";"0";"0";"0";"0";
"18";"DAVIDOFF";"Ђ";"1";"1";"390.00";"0";"0";"0";"0";"0";"0";"0";"0";
"19";"MARLBORO TOUCH";"Ђ";"1";"1";"440.00";"0";"0";"0";"0";"0";"0";"0";"0";
"20";"MARLBORO GOLD TOUCH";"Ђ";"1";"1";"440.00";"0";"0";"0";"0";"0";"0";"0";"0";
"21";"FILTERI IL KAPO";"Ђ";"1";"1";"120.00";"0";"0";"0";"0";"0";"0";"0";"0";
"22";"RIZLA";"Ђ";"1";"1";"45.00";"0";"0";"0";"0";"0";"0";"0";"0";
"23";"MASINICA ZA FILTERE";"Ђ";"1";"1";"190.00";"0";"0";"0";"0";"0";"0";"0";"0";
"24";"MASINICA ZA MOTANJE";"Ђ";"1";"1";"240.00";"0";"0";"0";"0";"0";"0";"0";"0";
"25";"FILTERI I RIZLA";"Ђ";"1";"1";"120.00";"0";"0";"0";"0";"0";"0";"0";"0";
"26";"UPALJAC BIK";"Ђ";"1";"1";"115.00";"0";"0";"0";"0";"0";"0";"0";"0";
"27";"UPALJAC KRIKET I LAMPICA";"Ђ";"1";"1";"40.00";"0";"0";"0";"0";"0";"0";"0";"0";
"28";"UPALJACI OBICNI";"Ђ";"1";"1";"25.00";"0";"0";"0";"0";"0";"0";"0";"0";
